data_source,event_id,session_id,participant_id,occurred_at,event_name,funnel_step,event_value
synthetic_course_demo,EV0001,S0001,P029,2026-08-04T20:30:00+09:00,landing_view,1,
synthetic_course_demo,EV0002,S0001,P029,2026-08-04T20:30:00+09:00,routine_builder_start,2,
synthetic_course_demo,EV0003,S0001,P029,2026-08-04T20:30:00+09:00,recommendation_view,3,admin
synthetic_course_demo,EV0004,S0001,P029,2026-08-04T20:30:00+09:00,routine_start,4,
synthetic_course_demo,EV0005,S0002,P038,2026-08-05T11:10:00+09:00,landing_view,1,
synthetic_course_demo,EV0006,S0002,P038,2026-08-05T11:10:00+09:00,routine_builder_start,2,
synthetic_course_demo,EV0007,S0002,P038,2026-08-05T11:10:00+09:00,recommendation_view,3,admin
synthetic_course_demo,EV0008,S0002,P038,2026-08-05T11:10:00+09:00,routine_start,4,
synthetic_course_demo,EV0009,S0002,P038,2026-08-05T11:10:00+09:00,routine_complete,5,
synthetic_course_demo,EV0010,S0002,P038,2026-08-05T11:10:00+09:00,feedback_submit,6,5
synthetic_course_demo,EV0011,S0003,P036,2026-08-06T12:20:00+09:00,landing_view,1,
synthetic_course_demo,EV0012,S0003,P036,2026-08-06T12:20:00+09:00,routine_builder_start,2,
synthetic_course_demo,EV0013,S0003,P036,2026-08-06T12:20:00+09:00,recommendation_view,3,admin
synthetic_course_demo,EV0014,S0003,P036,2026-08-06T12:20:00+09:00,routine_start,4,
synthetic_course_demo,EV0015,S0003,P036,2026-08-06T12:20:00+09:00,routine_complete,5,
synthetic_course_demo,EV0016,S0004,P037,2026-08-07T19:00:00+09:00,landing_view,1,
synthetic_course_demo,EV0017,S0004,P037,2026-08-07T19:00:00+09:00,routine_builder_start,2,
synthetic_course_demo,EV0018,S0004,P037,2026-08-07T19:00:00+09:00,recommendation_view,3,admin
synthetic_course_demo,EV0019,S0005,P028,2026-08-08T18:20:00+09:00,landing_view,1,
synthetic_course_demo,EV0020,S0005,P028,2026-08-08T18:20:00+09:00,routine_builder_start,2,
synthetic_course_demo,EV0021,S0005,P028,2026-08-08T18:20:00+09:00,recommendation_view,3,recovery
synthetic_course_demo,EV0022,S0005,P028,2026-08-08T18:20:00+09:00,routine_start,4,
synthetic_course_demo,EV0023,S0005,P028,2026-08-08T18:20:00+09:00,routine_complete,5,
synthetic_course_demo,EV0024,S0005,P028,2026-08-08T18:20:00+09:00,feedback_submit,6,4
synthetic_course_demo,EV0025,S0006,P038,2026-08-09T18:10:00+09:00,landing_view,1,
